dataset,table_name,column_name,data_type,ordinal_position
postgresqldim9000,master_buh_service_payment,paid_amount,STRING,5
postgresqldim9000,master_buh_service_payment,is_paid,BOOL,6
postgresqldim9000,master_buh_service_payment,updated_at,TIMESTAMP,7
postgresqldim9000,master_buh_service_payment,_sdc_received_at,TIMESTAMP,8
postgresqldim9000,master_buh_service_payment,_sdc_sequence,INT64,9
postgresqldim9000,master_buh_service_payment,amount_of_charges,STRING,10
postgresqldim9000,master_buh_service_payment,created_at,TIMESTAMP,11
postgresqldim9000,master_buh_service_payment,period,STRING,12
postgresqldim9000,master_buh_service_payment,_sdc_batched_at,TIMESTAMP,13
postgresqldim9000,master_buh_service_payment,okpo,STRING,14
postgresqldim9000,master_buh_service_payment,price_to_pay,STRING,15
postgresqldim9000,master_buh_service_payment,initial_debt,STRING,16
postgresqldim9000,master_buh_service_payment,desired_amount,STRING,17
postgresqldim9000,master_buh_service_payment,is_preview,BOOL,18
postgresqldim9000,master_buh_service_payment,synced_at,TIMESTAMP,19
postgresqldim9000,messenger_messages,body,STRING,1
postgresqldim9000,messenger_messages,available_at,TIMESTAMP,2
postgresqldim9000,messenger_messages,id,INT64,3
postgresqldim9000,messenger_messages,_sdc_table_version,INT64,4
postgresqldim9000,messenger_messages,_sdc_received_at,TIMESTAMP,5
postgresqldim9000,messenger_messages,_sdc_sequence,INT64,6
postgresqldim9000,messenger_messages,queue_name,STRING,7
postgresqldim9000,messenger_messages,created_at,TIMESTAMP,8
postgresqldim9000,messenger_messages,_sdc_batched_at,TIMESTAMP,9
postgresqldim9000,messenger_messages,headers,STRING,10
postgresqldim9000,messenger_messages,delivered_at,TIMESTAMP,11
postgresqldim9000,news_announce,id,STRING,1
postgresqldim9000,news_announce,draft,BOOL,2
postgresqldim9000,news_announce,name,STRING,3
postgresqldim9000,news_announce,_sdc_table_version,INT64,4
postgresqldim9000,news_announce,updated_at,TIMESTAMP,5
postgresqldim9000,news_announce,_sdc_received_at,TIMESTAMP,6
postgresqldim9000,news_announce,_sdc_sequence,INT64,7
postgresqldim9000,news_announce,type,STRING,8
postgresqldim9000,news_announce,created_at,TIMESTAMP,9
postgresqldim9000,news_announce,_sdc_batched_at,TIMESTAMP,10
postgresqldim9000,news_announce,gallery_id,STRING,11
postgresqldim9000,news_announce,house_space_type,STRING,12
postgresqldim9000,news_announce,description,STRING,13
postgresqldim9000,news_announce,activated,BOOL,14
postgresqldim9000,news_announce,icon,STRING,15
postgresqldim9000,news_announce,format,STRING,16
postgresqldim9000,news_area,floor,INT64,1
postgresqldim9000,news_area,section_id,STRING,2
postgresqldim9000,news_area,id,STRING,3
postgresqldim9000,news_area,space_id,STRING,4
postgresqldim9000,news_area,_sdc_table_version,INT64,5
postgresqldim9000,news_area,updated_at,TIMESTAMP,6
postgresqldim9000,news_area,announce_id,STRING,7
postgresqldim9000,news_area,_sdc_received_at,TIMESTAMP,8
postgresqldim9000,news_area,_sdc_sequence,INT64,9
postgresqldim9000,news_area,location_id,STRING,10
postgresqldim9000,news_area,house_id,STRING,11
postgresqldim9000,news_area,created_at,TIMESTAMP,12
postgresqldim9000,news_area,_sdc_batched_at,TIMESTAMP,13
postgresqldim9000,news_area,complex_id,STRING,14
postgresqldim9000,notification_space_blacklist,user_id,STRING,1
postgresqldim9000,notification_space_blacklist,id,STRING,2
postgresqldim9000,notification_space_blacklist,space_id,STRING,3
postgresqldim9000,notification_space_blacklist,_sdc_table_version,INT64,4
postgresqldim9000,notification_space_blacklist,updated_at,TIMESTAMP,5
postgresqldim9000,notification_space_blacklist,_sdc_received_at,TIMESTAMP,6
postgresqldim9000,notification_space_blacklist,_sdc_sequence,INT64,7
postgresqldim9000,notification_space_blacklist,created_at,TIMESTAMP,8
postgresqldim9000,notification_space_blacklist,_sdc_batched_at,TIMESTAMP,9
postgresqldim9000,notifications,task_id,INT64,1
postgresqldim9000,notifications,task_comment_id,STRING,2
postgresqldim9000,notifications,id,STRING,3
postgresqldim9000,notifications,_sdc_table_version,INT64,4
postgresqldim9000,notifications,order_id,INT64,5
postgresqldim9000,notifications,updated_at,TIMESTAMP,6
postgresqldim9000,notifications,announce_id,STRING,7
postgresqldim9000,notifications,_sdc_received_at,TIMESTAMP,8
postgresqldim9000,notifications,_sdc_sequence,INT64,9
postgresqldim9000,notifications,type,STRING,10
postgresqldim9000,notifications,created_at,TIMESTAMP,11
postgresqldim9000,notifications,recipient_id,STRING,12
postgresqldim9000,notifications,payload,"STRUCT<objectcommentauthorlastname STRING, objectcommentauthorfirstname STRING, objectcategory STRING, objectcomment STRING, objectorderid INT64, objectorderstatus STRING, objectname STRING, transactionreason STRING, objectid INT64, objectid__st STRING, complexname STRING, type STRING, objectcommentauthorpatronymic STRING, objectstatus STRING, objecttaskaddress STRUCT<complex STRING, city STRING, floor INT64, house STRING, street STRING, section STRING, apartment INT64, apartment__st STRING>, isfromtransitionsubscriber BOOL, objecttype STRING, objectcommentauthorid STRING, objecttaskid INT64, transition STRUCT<`to` STRING, `from` STRING, name STRING>, paymentstatus STRING, spaceid STRING, servicename STRING, objectnameid STRING, isfromtransitionsubscriber__st STRING, price STRING, transition__st STRING, ispriceset STRING>",13
postgresqldim9000,notifications,_sdc_batched_at,TIMESTAMP,14
postgresqldim9000,notifications,paid_order_id,INT64,15
postgresqldim9000,notifications,paid_task_comment_id,STRING,16
postgresqldim9000,notifications,complex_id,STRING,17
postgresqldim9000,notifications,paid_task_id,INT64,18
postgresqldim9000,operations,paid_order_id,INT64,1
postgresqldim9000,operations,id,STRING,2
postgresqldim9000,operations,_sdc_table_version,INT64,3
postgresqldim9000,operations,updated_at,TIMESTAMP,4
postgresqldim9000,operations,status,STRING,5
postgresqldim9000,operations,_sdc_received_at,TIMESTAMP,6
postgresqldim9000,operations,_sdc_sequence,INT64,7
postgresqldim9000,operations,amount,INT64,8
postgresqldim9000,operations,transaction_id,STRING,9
postgresqldim9000,operations,created_at,TIMESTAMP,10
postgresqldim9000,operations,_sdc_batched_at,TIMESTAMP,11
postgresqldim9000,operations,service_payment_id,STRING,12
postgresqldim9000,operations,commission,STRING,13
postgresqldim9000,operations,browser_fingerprint,"STRUCT<browsertimezone STRING, windowwidth STRING, browserjavaenabled STRING, browserlanguage STRING, windowheight STRING, browsercolordepth STRING, browserscreenheight STRING, browseracceptheader STRING, browseruseragent STRING, browseripaddress STRING, browsertimezoneoffset STRING, browserscreenwidth STRING>",14
postgresqldim9000,operations,card_token_id,STRING,15
postgresqldim9000,operations,is_synced_with_provider,BOOL,16
postgresqldim9000,order_prices,paid_order_id,INT64,1
postgresqldim9000,order_prices,id,STRING,2
postgresqldim9000,order_prices,discount_amount,INT64,3
postgresqldim9000,order_prices,_sdc_table_version,INT64,4
postgresqldim9000,order_prices,updated_at,TIMESTAMP,5
postgresqldim9000,order_prices,_sdc_received_at,TIMESTAMP,6
postgresqldim9000,order_prices,_sdc_sequence,INT64,7
postgresqldim9000,order_prices,created_at,TIMESTAMP,8
postgresqldim9000,order_prices,_sdc_batched_at,TIMESTAMP,9
postgresqldim9000,order_prices,payable_price,INT64,10
postgresqldim9000,order_prices,total_price,INT64,11
postgresqldim9000,order_reviews,id,STRING,1
postgresqldim9000,order_reviews,_sdc_table_version,INT64,2
postgresqldim9000,order_reviews,order_id,INT64,3
postgresqldim9000,order_reviews,updated_at,TIMESTAMP,4
postgresqldim9000,order_reviews,_sdc_received_at,TIMESTAMP,5
postgresqldim9000,order_reviews,_sdc_sequence,INT64,6
postgresqldim9000,order_reviews,created_at,TIMESTAMP,7
postgresqldim9000,order_reviews,comment,STRING,8
postgresqldim9000,order_reviews,rating,INT64,9
postgresqldim9000,order_reviews,_sdc_batched_at,TIMESTAMP,10
postgresqldim9000,order_reviews,is_invalid,BOOL,11
